country,year,age,gender,cases
AD,2005,0-4,M,0.0
AD,2006,0-4,M,0.0
AD,2008,0-4,M,0.0
AE,2006,0-4,M,0.0
AE,2007,0-4,M,0.0
AE,2008,0-4,M,0.0
AG,2007,0-4,M,0.0
AL,2005,0-4,M,0.0
AL,2006,0-4,M,1.0
AL,2007,0-4,M,0.0
AL,2008,0-4,M,1.0
AM,2005,0-4,M,1.0
AM,2006,0-4,M,0.0
AM,2007,0-4,M,0.0
AM,2008,0-4,M,0.0
AN,2006,0-4,M,0.0
AR,2006,0-4,M,19.0
AR,2007,0-4,M,14.0
AR,2008,0-4,M,11.0
AT,2005,0-4,M,1.0
AT,2006,0-4,M,0.0
AU,2006,0-4,M,1.0
AU,2007,0-4,M,0.0
AZ,2005,0-4,M,2.0
AZ,2006,0-4,M,1.0
BA,2005,0-4,M,0.0
BA,2006,0-4,M,0.0
BA,2007,0-4,M,0.0
BA,2008,0-4,M,0.0
BB,2007,0-4,M,0.0
BB,2008,0-4,M,0.0
BE,2005,0-4,M,1.0
BE,2006,0-4,M,3.0
BE,2007,0-4,M,1.0
BE,2008,0-4,M,2.0
BF,2007,0-4,M,2.0
BG,2005,0-4,M,0.0
BG,2007,0-4,M,2.0
BG,2008,0-4,M,1.0
BH,2008,0-4,M,0.0
BI,2007,0-4,M,0.0
BN,2007,0-4,M,0.0
BN,2008,0-4,M,0.0
BR,2006,0-4,M,136.0
BR,2007,0-4,M,175.0
BR,2008,0-4,M,115.0
BS,2007,0-4,M,0.0
BS,2008,0-4,M,0.0
BW,2008,0-4,M,4.0
BZ,2006,0-4,M,0.0
BZ,2007,0-4,M,1.0
BZ,2008,0-4,M,0.0
CA,2006,0-4,M,1.0
CA,2007,0-4,M,4.0
CA,2008,0-4,M,0.0
CH,2005,0-4,M,0.0
CH,2006,0-4,M,0.0
CH,2007,0-4,M,0.0
CH,2008,0-4,M,0.0
CK,2006,0-4,M,0.0
CL,2006,0-4,M,5.0
CL,2007,0-4,M,0.0
CL,2008,0-4,M,1.0
CM,2008,0-4,M,0.0
CR,2006,0-4,M,0.0
CR,2007,0-4,M,0.0
CU,2008,0-4,M,0.0
CV,2008,0-4,M,0.0
CY,2005,0-4,M,0.0
CY,2006,0-4,M,0.0
CY,2007,0-4,M,0.0
CY,2008,0-4,M,0.0
CZ,2005,0-4,M,0.0
CZ,2006,0-4,M,0.0
CZ,2007,0-4,M,0.0
CZ,2008,0-4,M,0.0
DE,2005,0-4,M,2.0
DE,2006,0-4,M,0.0
DE,2007,0-4,M,0.0
DE,2008,0-4,M,0.0
DJ,2007,0-4,M,4.0
DK,2005,0-4,M,0.0
DK,2006,0-4,M,0.0
DK,2007,0-4,M,0.0
DK,2008,0-4,M,0.0
DM,2006,0-4,M,0.0
DM,2007,0-4,M,0.0
DM,2008,0-4,M,0.0
DO,2008,0-4,M,2.0
EE,2005,0-4,M,0.0
EE,2006,0-4,M,0.0
EE,2007,0-4,M,0.0
EE,2008,0-4,M,0.0
EG,2006,0-4,M,19.0
EG,2008,0-4,M,0.0
ER,2007,0-4,M,4.0
ES,2005,0-4,M,6.0
ES,2006,0-4,M,12.0
ES,2007,0-4,M,4.0
ES,2008,0-4,M,9.0
FI,2005,0-4,M,0.0
FI,2006,0-4,M,0.0
FI,2007,0-4,M,0.0
FI,2008,0-4,M,0.0
FJ,2006,0-4,M,0.0
FM,2006,0-4,M,7.0
FM,2008,0-4,M,1.0
FR,2005,0-4,M,7.0
FR,2006,0-4,M,8.0
FR,2007,0-4,M,8.0
FR,2008,0-4,M,5.0
GA,2008,0-4,M,1.0
GB,2005,0-4,M,4.0
GB,2006,0-4,M,3.0
GB,2007,0-4,M,2.0
GB,2008,0-4,M,1.0
GD,2006,0-4,M,0.0
GE,2005,0-4,M,0.0
GE,2006,0-4,M,0.0
GE,2007,0-4,M,6.0
GE,2008,0-4,M,39.0
GM,2006,0-4,M,13.0
GM,2008,0-4,M,1.0
GR,2005,0-4,M,0.0
GR,2006,0-4,M,0.0
GR,2007,0-4,M,0.0
GR,2008,0-4,M,0.0
GT,2007,0-4,M,18.0
GT,2008,0-4,M,0.0
GU,2007,0-4,M,0.0
GU,2008,0-4,M,0.0
GY,2008,0-4,M,2.0
HK,2005,0-4,M,0.0
HK,2006,0-4,M,0.0
HK,2007,0-4,M,1.0
HK,2008,0-4,M,0.0
HN,2006,0-4,M,5.0
HN,2007,0-4,M,5.0
HN,2008,0-4,M,1.0
HR,2005,0-4,M,0.0
HR,2006,0-4,M,0.0
HR,2008,0-4,M,0.0
HT,2007,0-4,M,26.0
HT,2008,0-4,M,8.0
HU,2005,0-4,M,0.0
HU,2006,0-4,M,0.0
HU,2007,0-4,M,0.0
HU,2008,0-4,M,0.0
ID,2007,0-4,M,213.0
ID,2008,0-4,M,161.0
IE,2005,0-4,M,0.0
IE,2006,0-4,M,0.0
IE,2007,0-4,M,0.0
IE,2008,0-4,M,1.0
IL,2005,0-4,M,0.0
IL,2006,0-4,M,0.0
IL,2007,0-4,M,0.0
IL,2008,0-4,M,0.0
IQ,2006,0-4,M,0.0
IQ,2007,0-4,M,0.0
IQ,2008,0-4,M,2.0
IR,2006,0-4,M,4.0
IR,2007,0-4,M,3.0
IR,2008,0-4,M,0.0
IS,2005,0-4,M,0.0
IS,2006,0-4,M,0.0
IS,2007,0-4,M,0.0
IS,2008,0-4,M,0.0
IT,2005,0-4,M,7.0
IT,2006,0-4,M,6.0
IT,2007,0-4,M,1.0
IT,2008,0-4,M,1.0
JM,2006,0-4,M,0.0
JM,2007,0-4,M,0.0
JM,2008,0-4,M,2.0
JO,2006,0-4,M,0.0
JO,2007,0-4,M,0.0
JO,2008,0-4,M,0.0
JP,2007,0-4,M,1.0
JP,2008,0-4,M,0.0
KE,2007,0-4,M,23.0
KE,2008,0-4,M,40.0
KG,2005,0-4,M,0.0
KI,2007,0-4,M,0.0
KI,2008,0-4,M,0.0
KM,2006,0-4,M,1.0
KM,2008,0-4,M,0.0
KN,2008,0-4,M,0.0
KP,2008,0-4,M,11.0
KR,2006,0-4,M,0.0
KR,2007,0-4,M,3.0
KR,2008,0-4,M,3.0
KW,2007,0-4,M,0.0
KW,2008,0-4,M,0.0
KY,2006,0-4,M,0.0
KY,2007,0-4,M,0.0
KZ,2005,0-4,M,0.0
KZ,2007,0-4,M,3.0
KZ,2008,0-4,M,0.0
LB,2006,0-4,M,0.0
LB,2007,0-4,M,0.0
LB,2008,0-4,M,0.0
LC,2008,0-4,M,0.0
LR,2008,0-4,M,3.0
LS,2007,0-4,M,1.0
LS,2008,0-4,M,0.0
LT,2005,0-4,M,0.0
LT,2006,0-4,M,0.0
LT,2007,0-4,M,0.0
LT,2008,0-4,M,0.0
LU,2005,0-4,M,0.0
LU,2006,0-4,M,0.0
LU,2007,0-4,M,0.0
LU,2008,0-4,M,0.0
LV,2005,0-4,M,0.0
LV,2006,0-4,M,0.0
LV,2008,0-4,M,0.0
LY,2006,0-4,M,0.0
LY,2008,0-4,M,1.0
MA,2006,0-4,M,4.0
MA,2007,0-4,M,4.0
MA,2008,0-4,M,5.0
MD,2005,0-4,M,0.0
MD,2007,0-4,M,0.0
MD,2008,0-4,M,0.0
ME,2005,0-4,M,0.0
ME,2006,0-4,M,0.0
ME,2007,0-4,M,0.0
ME,2008,0-4,M,0.0
MG,2007,0-4,M,94.0
MG,2008,0-4,M,21.0
MH,2007,0-4,M,0.0
MH,2008,0-4,M,0.0
MK,2005,0-4,M,0.0
MK,2006,0-4,M,0.0
MK,2007,0-4,M,0.0
MK,2008,0-4,M,0.0
ML,2008,0-4,M,2.0
MO,2007,0-4,M,0.0
MO,2008,0-4,M,0.0
MP,2007,0-4,M,0.0
MP,2008,0-4,M,0.0
MT,2005,0-4,M,0.0
MT,2006,0-4,M,0.0
MT,2007,0-4,M,0.0
MT,2008,0-4,M,0.0
MU,2007,0-4,M,0.0
MU,2008,0-4,M,0.0
MV,2006,0-4,M,0.0
MV,2007,0-4,M,0.0
MV,2008,0-4,M,0.0
MW,2007,0-4,M,0.0
MW,2008,0-4,M,1.0
MX,2006,0-4,M,68.0
MX,2007,0-4,M,61.0
MX,2008,0-4,M,62.0
MY,2006,0-4,M,148.0
MY,2007,0-4,M,79.0
MY,2008,0-4,M,61.0
NC,2008,0-4,M,0.0
NE,2008,0-4,M,5.0
NI,2006,0-4,M,0.0
NI,2007,0-4,M,0.0
NL,2005,0-4,M,0.0
NL,2006,0-4,M,0.0
NL,2007,0-4,M,1.0
NL,2008,0-4,M,0.0
NO,2005,0-4,M,0.0
NO,2006,0-4,M,0.0
NO,2008,0-4,M,0.0
NP,2006,0-4,M,0.0
NP,2007,0-4,M,0.0
NR,2006,0-4,M,0.0
NR,2007,0-4,M,0.0
NR,2008,0-4,M,0.0
NU,2006,0-4,M,0.0
NU,2007,0-4,M,0.0
NZ,2006,0-4,M,0.0
NZ,2007,0-4,M,0.0
NZ,2008,0-4,M,0.0
OM,2006,0-4,M,0.0
OM,2008,0-4,M,0.0
PA,2008,0-4,M,1.0
PE,2006,0-4,M,36.0
PE,2007,0-4,M,10.0
PE,2008,0-4,M,10.0
PF,2008,0-4,M,0.0
PL,2005,0-4,M,2.0
PL,2006,0-4,M,1.0
PL,2007,0-4,M,0.0
PL,2008,0-4,M,3.0
PR,2007,0-4,M,0.0
PR,2008,0-4,M,0.0
PS,2006,0-4,M,0.0
PS,2007,0-4,M,0.0
PS,2008,0-4,M,0.0
PT,2005,0-4,M,3.0
PT,2006,0-4,M,4.0
PT,2007,0-4,M,1.0
PT,2008,0-4,M,1.0
PW,2006,0-4,M,1.0
PW,2007,0-4,M,0.0
PY,2006,0-4,M,6.0
PY,2007,0-4,M,3.0
PY,2008,0-4,M,3.0
QA,2007,0-4,M,0.0
QA,2008,0-4,M,0.0
RO,2005,0-4,M,10.0
RO,2006,0-4,M,9.0
RO,2007,0-4,M,12.0
RO,2008,0-4,M,8.0
RS,2005,0-4,M,0.0
RS,2006,0-4,M,2.0
RS,2007,0-4,M,0.0
RS,2008,0-4,M,0.0
RU,2007,0-4,M,3.0
RU,2008,0-4,M,1.0
RW,2007,0-4,M,7.0
RW,2008,0-4,M,4.0
SA,2008,0-4,M,4.0
SB,2007,0-4,M,0.0
SB,2008,0-4,M,0.0
SC,2008,0-4,M,0.0
SD,2006,0-4,M,0.0
SD,2008,0-4,M,40.0
SE,2005,0-4,M,0.0
SE,2006,0-4,M,0.0
SE,2007,0-4,M,0.0
SE,2008,0-4,M,0.0
SG,2006,0-4,M,1.0
SG,2007,0-4,M,0.0
SG,2008,0-4,M,0.0
SI,2005,0-4,M,0.0
SI,2006,0-4,M,0.0
SI,2007,0-4,M,0.0
SI,2008,0-4,M,0.0
SK,2005,0-4,M,0.0
SK,2006,0-4,M,1.0
SK,2007,0-4,M,0.0
SK,2008,0-4,M,0.0
SL,2007,0-4,M,1.0
SL,2008,0-4,M,3.0
SN,2008,0-4,M,2.0
SR,2006,0-4,M,1.0
ST,2006,0-4,M,0.0
ST,2007,0-4,M,0.0
SV,2007,0-4,M,0.0
SV,2008,0-4,M,0.0
SY,2006,0-4,M,0.0
SY,2007,0-4,M,0.0
SY,2008,0-4,M,2.0
SZ,2007,0-4,M,2.0
SZ,2008,0-4,M,1.0
TC,2006,0-4,M,0.0
TJ,2005,0-4,M,0.0
TJ,2008,0-4,M,0.0
TK,2007,0-4,M,0.0
TM,2005,0-4,M,0.0
TM,2007,0-4,M,0.0
TO,2006,0-4,M,0.0
TO,2007,0-4,M,0.0
TO,2008,0-4,M,0.0
TR,2005,0-4,M,1.0
TR,2006,0-4,M,2.0
TR,2007,0-4,M,13.0
TR,2008,0-4,M,7.0
TT,2007,0-4,M,0.0
TT,2008,0-4,M,0.0
TV,2006,0-4,M,7.0
TV,2008,0-4,M,0.0
UA,2007,0-4,M,5.0
UA,2008,0-4,M,1.0
UG,2008,0-4,M,0.0
US,2006,0-4,M,4.0
US,2007,0-4,M,4.0
US,2008,0-4,M,4.0
UY,2008,0-4,M,0.0
UZ,2005,0-4,M,1.0
UZ,2006,0-4,M,8.0
UZ,2007,0-4,M,0.0
UZ,2008,0-4,M,3.0
VC,2007,0-4,M,0.0
VE,2006,0-4,M,1.0
VE,2007,0-4,M,0.0
VE,2008,0-4,M,0.0
VU,2008,0-4,M,0.0
WF,2007,0-4,M,0.0
WS,2008,0-4,M,0.0
ZA,2006,0-4,M,655.0
ZA,2007,0-4,M,340.0
ZA,2008,0-4,M,344.0
ZW,2007,0-4,M,6.0
AD,2005,5-14,M,0.0
AD,2006,5-14,M,0.0
AD,2008,5-14,M,0.0
AE,2006,5-14,M,0.0
AE,2007,5-14,M,2.0
AE,2008,5-14,M,0.0
AG,2007,5-14,M,0.0
AL,2005,5-14,M,0.0
AL,2006,5-14,M,4.0
AL,2007,5-14,M,0.0
AL,2008,5-14,M,0.0
AM,2005,5-14,M,2.0
AM,2006,5-14,M,0.0
AM,2007,5-14,M,1.0
AM,2008,5-14,M,0.0
AN,2006,5-14,M,0.0
AR,2006,5-14,M,48.0
AR,2007,5-14,M,63.0
AR,2008,5-14,M,58.0
AT,2005,5-14,M,0.0
AT,2006,5-14,M,1.0
AT,2007,5-14,M,1.0
AU,2006,5-14,M,1.0
AU,2007,5-14,M,3.0
AZ,2005,5-14,M,75.0
AZ,2006,5-14,M,5.0
BA,2005,5-14,M,1.0
BA,2006,5-14,M,0.0
BA,2007,5-14,M,0.0
BA,2008,5-14,M,0.0
BB,2007,5-14,M,0.0
BB,2008,5-14,M,0.0
BE,2005,5-14,M,0.0
BE,2006,5-14,M,1.0
BE,2007,5-14,M,1.0
BE,2008,5-14,M,1.0
BF,2007,5-14,M,6.0
BG,2005,5-14,M,9.0
BG,2007,5-14,M,5.0
BG,2008,5-14,M,1.0
BH,2008,5-14,M,0.0
BI,2007,5-14,M,0.0
BN,2007,5-14,M,0.0
BN,2008,5-14,M,0.0
BR,2006,5-14,M,207.0
BR,2007,5-14,M,196.0
BR,2008,5-14,M,183.0
BS,2007,5-14,M,0.0
BS,2008,5-14,M,0.0
BW,2008,5-14,M,23.0
BZ,2006,5-14,M,3.0
BZ,2007,5-14,M,0.0
BZ,2008,5-14,M,1.0
CA,2006,5-14,M,1.0
CA,2007,5-14,M,1.0
CA,2008,5-14,M,2.0
CH,2005,5-14,M,1.0
CH,2006,5-14,M,1.0
CH,2007,5-14,M,0.0
CH,2008,5-14,M,0.0
CK,2006,5-14,M,0.0
